key,value
delivery_ratio,1.0
avg_latency,0.04327397867188002
duplicates,0
total_energy_j,0.65049504

topic_publish_counts
topic,count
sensors/humidity,3

topic_delivery_stats
topic,delivered,avg_latency
sensors/humidity,3,0.04327397867188002

topic_rates_msgs_per_sec
topic,msgs_per_sec
sensors/humidity,0.6666666666666666

queue_depth_history
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0

failover_info
last_start,
last_end,

nodes
id,type,state,battery,protocol,x,y,energy_j
Gate_975,Gateway,active,100,zigbee,250,250,0.0
iPho_491,Sensor,scanning,99,zigbee,164.68085106382972,240.0,0.1
Lapt_844,Sensor,scanning,99,zigbee,350,250,0.15000000000000002
iPho_606,Sensor,scanning,99,zigbee,373.868613138686,140.0,0.1
Sens_214,Sensor,scanning,99,zigbee,293.5267857142857,289.52879581151836,0.15000000000000002
Sens_685,Sensor,active,99,zigbee,233.25892857142858,229.31937172774875,0.15049504000000002
