key,value
delivery_ratio,1.0
avg_latency,0.031247790517023866
duplicates,0
total_energy_j,1.2737387383333332

topic_publish_counts
topic,count
sensors/humidity,16
sensors/temp,9

topic_delivery_stats
topic,delivered,avg_latency
sensors/humidity,16,0.03343503749143356
sensors/temp,9,0.027359351451406628

topic_rates_msgs_per_sec
topic,msgs_per_sec
sensors/humidity,2.0
sensors/temp,0.6666666666666666

queue_depth_history
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0

failover_info
last_start,
last_end,

nodes
id,type,state,battery,protocol,x,y,energy_j
Gate_623,Gateway,active,100,wifi,250,250,0.0
Sens_481,Sensor,active,98,wifi,280,250,0.5090038083333333
Sens_985,Sensor,active,98,wifi,200,220,0.4581853753333333
Sens_720,Sensor,active,99,wifi,306.36160714285717,344.6782178217822,0.15327477733333333
iPho_130,Sensor,active,99,wifi,304.6153846153845,200.0,0.15327477733333333
